"","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases"
"Kenya","3 828 757","3 659 170","5 019 389","2 318 090","3 607 026","3 064 796","2 041 277","2 851 555","2 375 129","1 453 471","1 002 805","898 531","","839 903","","","","28 328","39 383","20 049","",""
"Kyrgyzstan","","0","1","0","2","6","1","0","4","3","5","6","4","18","96","320","226","93","468","2 744","28","12"
"Lao People's Democratic Republic","3 926","3 498","6 692","9 038","8 435","15 509","36 078","50 674","39 589","46 153","17 532","22 879","22 791","18 935","19 037","18 382","13 602","16 183","18 894","21 420","27 076","40 106"
"Liberia","912 436","","915 845","","1 093 115","1 191 137","941 711","881 224","1 244 220","1 412 629","1 921 159","922 173","839 581","606 952","492 272","761 415","44 875","","","","",""
"Madagascar","2 339 103","1 950 471","970 828","972 790","985 852","686 024","939 657","470 924","433 450","402 900","224 498","202 450","215 110","93 234","48 497","5 689","6 753","7 638","6 909","5 272","8 538","6 946"
"Malawi","6 948 500","7 139 065","5 184 107","5 865 476","4 947 443","4 827 373","3 661 238","2 905 310","1 280 892","1 564 984","304 499","","","","","","","","","","",""
"Malaysia","3 688","2 839","3 941","4 630","4 114","2 302","2 311","3 923","3 850","4 725","5 306","6 650","7 010","7 390","5 456","5 294","5 569","6 154","6 338","11 019","12 780","12 705"
"Mali","3 204 130","2 666 266","3 221 535","2 345 475","2 277 218","2 311 098","2 454 508","2 039 853","1 506 940","886 482","307 035","239 787","","","","","","","","","",""
"Mauritania","18 660","12 425","14 869","30 609","20 105","29 156","22 631","15 835","1 587","1 888","2 926","1 994","940","302","","1 061","","","","","",""
"Mayotte","","","","47","19","28","11","15","82","72","92","396","352","346","421","392","500","743","792","","",""
"Mexico","275","369","641","803","765","596","551","666","499","842","1 130","1 233","2 703","2 357","2 361","2 514","2 967","3 406","3 819","4 624","4 996","7 390"
"Morocco","905","146","628","445","496","409","510","493","314","364","312","218","145","142","75","83","100","56","73","107","59","59"
"Mozambique","10 095 807","11 318 685","11 734 926","10 304 472","9 892 601","9 690 873","8 222 814","7 407 175","3 282 172","1 853 276","1 756 874","1 522 577","93 874","120 259","141 663","","","","","","",""
"Myanmar","79 001","58 836","56 410","76 518","85 019","110 146","182 465","205 658","333 871","481 204","465 294","420 808","436 068","447 073","372 303","203 071","165 737","152 070","177 530","173 096","170 502","120 083"
"Namibia","13 738","13 636","3 404","36 451","66 141","24 869","12 050","15 692","4 775","194","1 525","556","505","1 092","4 242","27 690","23 339","36 043","20 295","23 984","41 636",""
"Nepal","373","430","710","1 293","1 293","1 009","1 112","1 499","1 974","3 230","3 414","3 894","3 335","3 888","5 621","4 969","5 050","4 895","9 506","12 750","6 396","7 981"
"Nicaragua","23 323","25 530","13 226","15 934","10 952","6 284","2 308","1 163","1 196","1 235","925","692","610","762","1 356","3 114","6 642","6 897","6 717","7 695","10 482","23 878"
"Niger","4 044 707","4 377 938","3 771 451","3 046 450","2 761 268","4 258 110","2 392 108","3 963 768","2 373 591","2 329 260","838 585","642 774","309 675","682 685","268 164","48 568","84 002","76 030","56 460","","",""
"Nigeria","21 325 186","18 325 240","19 806 915","14 548 024","13 087 878","13 598 282","8 068 583","8 572 322","","","","551 187","479 845","143 079","","","","","","","",""
"Oman","172","276","1 338","921","1 078","807","823","1 001","1 451","2 051","1 531","1 193","898","965","705","443","544","615","740","590","635","694"
"Pakistan","399 097","371 828","413 533","374 510","369 817","329 005","203 859","264 867","274 648","290 781","334 589","240 591","167 579","104 454","128 570","124 910","127 826","126 719","125 152","107 666","125 292","82 526"
"Panama","4 364","2 203","1 597","715","689","811","562","874","705","844","354","418","778","744","1 281","1 663","3 667","5 095","4 500","2 244","928","1 036"
"Papua New Guinea","651 963","750 254","646 648","516 249","488 878","534 819","346 431","314 036","316 125","150 195","84 060","93 956","77 758","84 452","86 955","93 938","92 957","91 055","72 620","75 748","94 484","79 839"
"Paraguay","4","1","2","0","5","10","8","8","11","15","10","29","91","341","1 341","823","373","694","1 392","2 778","2 710","6 853"
"Peru","18 140","15 847","24 483","45 619","55 367","56 671","66 609","65 252","48 719","31 436","25 005","31 545","42 645","44 522","50 797","64 925","87 699","93 581","88 408","99 237","78 544","68 321"
"Philippines","4 297","6 120","5 778","4 641","6 806","6 680","11 410","6 087","7 720","8 086","9 583","19 102","19 955","23 655","36 235","33 354","26 515","29 018","32 948","22 831","18 006","25 912"
"Republic of Korea","294","386","559","576","515","662","692","635","443","555","838","1 772","1 345","1 063","2 227","2 051","1 369","864","1 171","1 799","2 556","4 183"
"Rwanda","1 163 670","2 043 392","3 612 822","4 231 883","5 940 533","3 380 568","2 505 794","1 623 176","962 618","483 470","273 293","669 322","698 745","316 242","382 686","573 686","683 769","589 315","553 150","506 028","423 493",""
"Sao Tome and Principe","2 730","1 944","2 742","2 940","2 241","2 238","2 058","1 754","9 243","12 550","8 442","3 146","6 182","6 258","2 421","5 146","18 139","46 486","42 656","50 586","42 086","31 975"
"Saudi Arabia","2 616","3 658","2 152","2 711","3 151","5 382","2 620","2 305","2 513","3 406","2 788","1 941","2 333","1 491","2 864","1 278","1 059","1 232","1 724","2 612","3 074","6 608"
"Senegal","536 850","445 313","354 708","530 944","395 706","349 540","492 253","265 624","366 687","294 385","274 119","330 331","174 890","217 096","23 163","21 911","14 132","11 628","13 722","8 911","7 535","44 959"
"Sierra Leone","1 953 902","725 006","2 407 505","1 733 831","1 651 236","1 775 306","1 483 376","1 374 476","1 701 958","1 537 322","644 018","934 028","646 808","176 356","","4 932","4 808","2 206","3 945","3 702","2 206",""
"Solomon Islands","84 139","77 637","72 767","59 191","52 519","54 432","23 998","18 404","25 609","24 383","26 657","39 704","33 002","40 749","65 404","75 412","76 516","90 376","92 309","74 936","76 493","68 107"
"Somalia","12 967","27 333","39 687","31 021","35 138","35 628","20 953","11 246","7 407","6 817","3 351","24 833","25 202","36 905","16 675","16 430","12 516","11 436","7 571","15 732","",""
"South Africa","5 812","8 126","13 833","10 789","29 615","4 323","4 959","11 705","8 645","6 621","9 866","8 060","6 072","7 796","6 327","12 098","7 755","13 399","13 459","15 649","26 506",""
"South Sudan","2 017 227","661 922","1 903 742","98 843","1 488 005","7 619","24 371","71 377","262 520","225 371","112 024","900 283","","52 011","","","","","","","",""
"Sri Lanka","26","30","54","52","57","41","36","49","95","93","175","736","558","672","198","591","1 640","3 720","10 510","41 411","66 522","210 039"
"Sudan","1 647 745","1 698 394","1 752 011","1 648 683","800 116","566 015","586 827","1 068 506","592 383","526 931","506 806","720 557","711 462","569 296","686 908","721 233","628 417","537 899","1 085 953","280 550","203 491","368 557"
"Suriname","77","244","215","235","551","332","376","401","729","569","795","1 771","2 499","2 086","1 104","3 289","9 131","8 378","10 982","12 837","16 003","11 361"
"Syrian Arab Republic","12","9","23","16","39","12","12","21","22","42","48","23","39","51","37","34","28","13","24","27","79","42"
"Turkiye","","135","279","238","214","209","224","254","285","595","132","90","122","381","671","1 592","2 132","5 352","9 262","10 264","10 866","11 483"
"Tajikistan","","0","3","","3","1","4","7","25","54","100","116","165","318","635","1 344","2 310","3 588","5 428","6 160","11 387","19 064"
"Thailand","3 279","3 940","5 421","6 750","11 440","17 800","24 155","41 218","41 602","46 895","24 897","32 480","29 462","28 569","33 178","30 294","29 782","26 690","37 355","44 555","63 528","78 561"
"Timor-Leste","0","14","9","8","30","94","80","342","1 025","5 208","19 735","48 139","38 719","51 260","52 813","51 373","58 616","55 322","48 803","37 799","","15 212"
"Togo","996 364","","2 406 091","2 002 877","1 756 582","1 746 334","1 610 711","1 524 339","965 832","909 129","506 764","1 019 029","654 733","402 739","219 818","30 132","28 601","27 467","26 079","28 771","29 379","25 083"
"Turkmenistan","","0","3","0","0","0","0","0","0","0","0","0","0","1","0","2","2","3","8","22","11","34"
"Uganda","14 336 387","16 329 136","13 982 362","5 759 174","11 667 831","9 735 849","7 412 747","3 631 939","1 502 362","2 662 258","316 241","1 666 582","1 301 337","979 298","1 045 378","867 398","1 104 310","879 032","801 784","557 159","",""
"United Arab Emirates","1 014","915","2 881","3 238","4 013","3 849","3 685","4 575","4 380","5 165","0","0","0","0","0","0","0","0","0","0","0","0"
"United Republic of Tanzania","4 456 818","5 977 913","5 913 584","6 053 714","5 744 907","5 762 462","4 902 828","680 407","1 554 690","1 987 629","2 151 236","1 279 362","3 248","4 508","1 846 210","1 929 881","2 771 677","2 514 318","1 992 319","59 451","56 922","17 734"
"Uzbekistan","","2","1","0","0","0","0","1","3","1","1","6","4","34","119","149","140","101","141","137","145","206"
"Vanuatu","322","507","576","644","1 228","2 252","571","1 314","2 883","4 532","6 179","9 817","4 656","4 567","5 471","8 055","9 834","14 653","15 240","14 339","7 647","6 768"
"Venezuela (Bolivarian Republic of)","194 057","232 757","492 753","522 059","525 897","301 466","137 996","91 918","80 320","52 803","45 824","45 155","35 828","32 037","41 749","37 062","45 049","46 655","31 719","29 491","20 006","29 736"
"Viet Nam","467","1 422","4 765","4 813","4 548","4 161","9 331","15 752","17 128","19 638","16 612","17 515","16 130","11 355","16 389","22 637","19 496","24 909","38 790","47 807","68 699","74 316"
"Yemen","180 339","164 066","165 899","157 900","143 333","99 700","76 259","86 707","102 778","112 359","90 954","106 697","55 454","44 206","67 677","55 000","44 150","48 756","50 811","75 508","",""
"Zambia","6 769 142","8 121 215","5 147 350","5 039 679","5 505 639","4 851 319","4 184 661","4 077 547","","","","","","","","","","","","","",""
"Zimbabwe","133 137","447 381","308 173","264 018","471 798","316 989","484 794","550 696","423 702","277 736","321 901","249 379","57 014","16 394","116 518","19 702","18 954","16 990","","","",""
